Index,Company,Symbol,Weight,Price,Change,Percent Change
97,Chubb Limited,CB,0.19%,304.43,0.78,(0.26%)
98,Parker Hannifin,PH,0.19%,949.31,33.04,(3.61%)
99,Adobe Inc.,ADBE,0.19%,289.87,-9.71,(-3.24%)
100,Bristol Myers Squibb,BMY,0.18%,54.97,0.35,(0.65%)
101,CrowdStrike,CRWD,0.18%,441.35,-27.84,(-5.93%)
102,HCA Healthcare,HCA,0.18%,483.68,-7.55,(-1.54%)
103,Blackstone Inc.,BX,0.18%,142.62,-4.17,(-2.84%)
104,Comcast,CMCSA,0.17%,29.30,0.89,(3.12%)
105,Starbucks,SBUX,0.17%,92.97,-2.19,(-2.31%)
106,Constellation Energy,CEG,0.17%,286.14,-1.81,(-0.63%)
107,CME Group,CME,0.17%,287.93,1.88,(0.66%)
108,KKR,KKR,0.16%,114.86,-1.91,(-1.64%)
109,McKesson Corporation,MCK,0.16%,828.30,1.68,(0.20%)
110,Altria,MO,0.16%,60.56,-2.57,(-4.07%)
111,Automatic Data Processing,ADP,0.16%,247.26,-3.43,(-1.37%)
112,Intercontinental Exchange,ICE,0.16%,173.82,1.38,(0.80%)
113,Northrop Grumman,NOC,0.16%,694.68,5.55,(0.80%)
114,Seagate Technology,STX,0.16%,449.79,6.86,(1.55%)
115,Southern Company,SO,0.16%,88.95,0.63,(0.71%)
116,Western Digital,WDC,0.15%,282.17,2.47,(0.88%)
117,General Dynamics,GD,0.15%,351.90,-4.78,(-1.34%)
118,CVS Health,CVS,0.15%,74.34,0.31,(0.41%)
119,Trane Technologies,TT,0.15%,423.62,29.42,(7.46%)
120,Duke Energy,DUK,0.15%,120.76,0.52,(0.43%)
121,Freeport-McMoRan,FCX,0.15%,65.20,1.57,(2.46%)
122,"Nike, Inc.",NKE,0.15%,62.75,0.51,(0.82%)
123,Royal Caribbean Group,RCL,0.15%,340.04,48.44,(16.61%)
124,Synopsys,SNPS,0.15%,478.29,-33.06,(-6.47%)
125,"Marsh & McLennan Companies, Inc.",MRSH,0.15%,186.43,8.25,(4.63%)
126,Moody's Corporation,MCO,0.15%,511.38,-5.24,(-1.01%)
127,United Parcel Service,UPS,0.14%,107.04,3.34,(3.22%)
128,"Robinhood Markets, Inc.",HOOD,0.14%,100.69,-2.71,(-2.62%)
129,PNC Financial Services,PNC,0.14%,223.31,1.92,(0.87%)
130,DoorDash,DASH,0.14%,208.10,1.44,(0.69%)
131,Waste Management,WM,0.14%,222.56,-9.04,(-3.90%)
132,Corning Inc.,GLW,0.14%,102.43,-1.85,(-1.77%)
133,Sherwin-Williams,SHW,0.14%,353.32,3.72,(1.07%)
134,U.S. Bancorp,USB,0.14%,56.00,0.26,(0.46%)
135,Marriott International,MAR,0.14%,320.05,7.98,(2.56%)
136,American Tower,AMT,0.14%,181.31,3.80,(2.14%)
137,Howmet Aerospace,HWM,0.14%,210.82,-0.02,(-0.01%)
138,O'Reilly Auto Parts,ORLY,0.13%,99.41,-1.96,(-1.94%)
139,Emerson Electric,EMR,0.13%,149.13,0.71,(0.48%)
140,BNY Mellon,BK,0.13%,120.22,1.32,(1.11%)
141,3M,MMM,0.13%,155.62,-0.32,(-0.21%)
142,CRH plc,CRH,0.13%,123.45,0.99,(0.81%)
143,Williams Companies,WMB,0.13%,67.30,0.38,(0.57%)
144,Cadence Design Systems,CDNS,0.13%,298.65,-21.84,(-6.81%)
145,Equinix,EQIX,0.13%,824.27,8.12,(1.00%)
146,Cummins,CMI,0.13%,583.05,5.19,(0.90%)
147,TransDigm Group,TDG,0.13%,1425.32,13.19,(0.93%)
148,Sandisk Corporation,SNDK,0.13%,544.26,16.63,(3.15%)
149,Ecolab,ECL,0.13%,280.73,-0.73,(-0.26%)
150,Airbnb,ABNB,0.13%,130.81,-0.75,(-0.57%)
151,Regeneron Pharmaceuticals,REGN,0.13%,748.50,-2.63,(-0.35%)
152,Monster Beverage,MNST,0.13%,80.50,-0.42,(-0.52%)
153,Dell Technologies,DELL,0.12%,117.99,0.67,(0.57%)
154,General Motors,GM,0.12%,86.39,1.49,(1.76%)
155,Apollo Global Management,APO,0.12%,133.95,1.06,(0.79%)
156,Elevance Health,ELV,0.12%,345.44,3.59,(1.05%)
157,Illinois Tool Works,ITW,0.12%,261.57,3.32,(1.29%)
158,Cintas,CTAS,0.12%,189.06,-0.10,(-0.06%)
159,FedEx,FDX,0.12%,318.51,3.87,(1.23%)
160,Mondelez International,MDLZ,0.12%,57.63,-0.10,(-0.18%)
161,Johnson Controls,JCI,0.12%,120.54,3.80,(3.26%)
162,Aon,AON,0.12%,341.64,8.64,(2.59%)
163,Schlumberger,SLB,0.12%,48.90,0.03,(0.05%)
164,Cigna,CI,0.12%,271.82,-0.56,(-0.20%)
165,Quanta Services,PWR,0.12%,486.18,4.90,(1.02%)
166,CSX Corporation,CSX,0.11%,37.83,0.45,(1.21%)
167,Hilton Worldwide,HLT,0.11%,299.70,3.39,(1.15%)
168,Warner Bros. Discovery,WBD,0.11%,27.80,-0.18,(-0.63%)
169,Cencora,COR,0.11%,354.17,3.63,(1.03%)
170,Colgate-Palmolive,CL,0.11%,85.33,0.33,(0.39%)
171,Kinder Morgan,KMI,0.11%,30.35,0.28,(0.94%)
172,Republic Services,RSG,0.11%,215.07,-2.53,(-1.16%)
173,L3Harris,LHX,0.11%,355.88,-4.42,(-1.23%)
174,Motorola Solutions,MSI,0.11%,397.88,-7.20,(-1.78%)
175,TE Connectivity,TEL,0.11%,225.78,4.01,(1.81%)
176,Norfolk Southern Railway,NSC,0.10%,290.33,5.86,(2.06%)
177,Paccar,PCAR,0.10%,122.85,-0.21,(-0.17%)
178,Truist Financial,TFC,0.10%,50.92,0.61,(1.21%)
179,American Electric Power,AEP,0.10%,119.48,0.36,(0.31%)
180,Arthur J. Gallagher & Co.,AJG,0.10%,243.00,0.63,(0.26%)
181,EOG Resources,EOG,0.10%,114.22,3.20,(2.89%)
182,Travelers Companies (The),TRV,0.10%,283.86,1.82,(0.65%)
183,AutoZone,AZO,0.10%,3714.19,-67.95,(-1.80%)
184,Simon Property Group,SPG,0.10%,187.91,4.15,(2.26%)
185,Ross Stores,ROST,0.10%,186.62,0.58,(0.31%)
186,Fortinet,FTNT,0.10%,80.95,-1.13,(-1.38%)
187,Carvana Co.,CVNA,0.10%,421.44,11.40,(2.78%)
188,Phillips 66,PSX,0.09%,146.23,4.15,(2.92%)
189,Valero Energy,VLO,0.09%,190.55,6.53,(3.55%)
190,NXP Semiconductors,NXPI,0.09%,229.82,-10.21,(-4.25%)
191,Digital Realty,DLR,0.09%,168.26,5.05,(3.10%)
192,Aflac,AFL,0.09%,109.62,0.70,(0.64%)
193,Becton Dickinson,BDX,0.09%,200.78,-1.14,(-0.56%)
194,Air Products,APD,0.09%,256.35,0.46,(0.18%)
195,Sempra,SRE,0.09%,87.00,0.22,(0.25%)
196,Baker Hughes,BKR,0.09%,57.27,0.63,(1.12%)
197,Monolithic Power Systems,MPWR,0.09%,1171.18,9.40,(0.81%)
198,Ford Motor Company,F,0.09%,14.04,0.22,(1.63%)
199,"Nasdaq, Inc.",NDAQ,0.09%,97.81,-0.90,(-0.91%)
200,Realty Income,O,0.09%,60.70,0.63,(1.04%)
201,Vistra Corp.,VST,0.09%,160.46,-5.18,(-3.13%)
202,Zoetis,ZTS,0.09%,122.51,0.58,(0.48%)
203,Idexx Laboratories,IDXX,0.09%,674.54,-13.20,(-1.92%)
204,Autodesk,ADSK,0.09%,253.88,-14.45,(-5.39%)
205,Marathon Petroleum,MPC,0.09%,178.36,6.35,(3.69%)
206,Coinbase Global,COIN,0.08%,196.81,-12.62,(-6.02%)
207,Dominion Energy,D,0.08%,60.87,0.16,(0.26%)
208,Ametek,AME,0.08%,225.07,2.58,(1.16%)
209,Allstate,ALL,0.08%,196.94,-0.39,(-0.20%)
210,Chipotle Mexican Grill,CMG,0.08%,38.95,-0.20,(-0.52%)
211,W. W. Grainger,GWW,0.08%,1078.09,8.08,(0.76%)
212,Electronic Arts,EA,0.08%,204.00,0.06,(0.03%)
213,MetLife,MET,0.08%,77.34,1.08,(1.42%)
214,CBRE Group,CBRE,0.08%,170.70,1.20,(0.71%)
215,ONEOK,OKE,0.08%,79.91,0.65,(0.82%)
216,Cardinal Health,CAH,0.08%,211.53,1.15,(0.54%)
