Index,Company,Symbol,Weight,Price,Change,Percent Change
307,Halliburton,HAL,0.05%,34.03,0.67,(2.01%)
308,Fidelity National Information Services,FIS,0.05%,55.05,-1.13,(-2.02%)
309,Mettler Toledo,MTD,0.05%,1385.22,-16.42,(-1.17%)
310,DTE Energy,DTE,0.04%,135.14,-1.42,(-1.04%)
311,Ulta Beauty,ULTA,0.04%,632.56,-5.65,(-0.89%)
312,Ameren,AEE,0.04%,103.72,0.14,(0.13%)
313,Northern Trust,NTRS,0.04%,149.76,-0.49,(-0.32%)
314,Cboe Global Markets,CBOE,0.04%,265.25,0.65,(0.25%)
315,Dover Corporation,DOV,0.04%,201.84,-4.16,(-2.02%)
316,Kraft Heinz,KHC,0.04%,23.18,-0.02,(-0.06%)
317,Lennar,LEN,0.04%,110.87,0.08,(0.07%)
318,Iron Mountain,IRM,0.04%,92.63,0.39,(0.42%)
319,FirstEnergy,FE,0.04%,47.38,-0.02,(-0.05%)
320,Tractor Supply,TSCO,0.04%,51.78,-3.36,(-6.10%)
321,Citizens Financial Group,CFG,0.04%,63.03,0.11,(0.18%)
322,Atmos Energy,ATO,0.04%,167.22,1.22,(0.73%)
323,PPL Corporation,PPL,0.04%,36.52,-0.19,(-0.50%)
324,Huntington Bancshares,HBAN,0.04%,17.18,0.12,(0.70%)
325,Constellation Brands,STZ,0.04%,154.39,-3.35,(-2.13%)
326,Steel Dynamics,STLD,0.04%,182.01,7.63,(4.38%)
327,Expand Energy,EXE,0.04%,111.30,1.64,(1.49%)
328,CoStar Group,CSGP,0.04%,62.12,-3.08,(-4.72%)
329,Hubbell Incorporated,HUBB,0.04%,494.22,8.49,(1.75%)
330,PPG Industries,PPG,0.04%,116.04,2.08,(1.82%)
331,Eversource Energy,ES,0.04%,69.28,-0.62,(-0.89%)
332,"Tapestry, Inc.",TPR,0.04%,126.97,0.97,(0.77%)
333,CenterPoint Energy,CNP,0.04%,39.77,-0.02,(-0.04%)
334,Biogen,BIIB,0.04%,176.53,1.69,(0.97%)
335,W. R. Berkley Corporation,WRB,0.04%,68.02,0.35,(0.52%)
336,Devon Energy,DVN,0.04%,40.75,0.92,(2.30%)
337,Jabil,JBL,0.04%,241.88,-1.75,(-0.72%)
338,Steris,STE,0.04%,259.60,-1.26,(-0.48%)
339,Synchrony Financial,SYF,0.04%,73.31,-0.11,(-0.15%)
340,Southwest Airlines,LUV,0.04%,48.68,7.82,(19.14%)
341,ON Semiconductor,ON,0.04%,62.56,-2.37,(-3.65%)
342,American Water Works,AWK,0.04%,128.40,1.35,(1.06%)
343,PulteGroup,PHM,0.04%,127.49,4.22,(3.42%)
344,Equifax,EFX,0.04%,202.84,-2.49,(-1.21%)
345,AvalonBay Communities,AVB,0.04%,174.92,1.95,(1.13%)
346,Cincinnati Financial,CINF,0.04%,158.56,0.16,(0.10%)
